max_depth, eta, objective, booster, gamma, reg_alpha, reg_lambda, subsample, nthread
6,0.001,reg:linear,gbtree,0,0,0,0.5,4,2.716458424886666
6,0.001,reg:linear,gbtree,0,0,0,0.6,4,2.7231871464903263
6,0.001,reg:linear,gbtree,0,0,0,0.7,4,2.730231453069535
6,0.001,reg:linear,gbtree,0,0,0,0.8,4,2.734906995130065
6,0.001,reg:linear,gbtree,0,0,0,0.9,4,2.748524334099555
6,0.001,reg:linear,gbtree,0,0,0,1,4,2.780347875420253
6,0.001,reg:linear,gbtree,0,0,0.05,0.5,4,2.7202159664700423
6,0.001,reg:linear,gbtree,0,0,0.05,0.6,4,2.7256300846600747
6,0.001,reg:linear,gbtree,0,0,0.05,0.7,4,2.732395733910526
6,0.001,reg:linear,gbtree,0,0,0.05,0.8,4,2.736762954405272
6,0.001,reg:linear,gbtree,0,0,0.05,0.9,4,2.7503715280017276
6,0.001,reg:linear,gbtree,0,0,0.05,1,4,2.7751655519691445
6,0.001,reg:linear,gbtree,0,0,0.1,0.5,4,2.7239510959575597
6,0.001,reg:linear,gbtree,0,0,0.1,0.6,4,2.728542022516978
6,0.001,reg:linear,gbtree,0,0,0.1,0.7,4,2.733937561888744
6,0.001,reg:linear,gbtree,0,0,0.1,0.8,4,2.7390899096763945
6,0.001,reg:linear,gbtree,0,0,0.1,0.9,4,2.7501725163256756
6,0.001,reg:linear,gbtree,0,0,0.1,1,4,2.7719275571947466
6,0.001,reg:linear,gbtree,0,0,0.2,0.5,4,2.729762865003497
6,0.001,reg:linear,gbtree,0,0,0.2,0.6,4,2.7341983315513008
6,0.001,reg:linear,gbtree,0,0,0.2,0.7,4,2.737878893508445
6,0.001,reg:linear,gbtree,0,0,0.2,0.8,4,2.744346190325885
6,0.001,reg:linear,gbtree,0,0,0.2,0.9,4,2.7527427818797743
6,0.001,reg:linear,gbtree,0,0,0.2,1,4,2.772576850307459
6,0.001,reg:linear,gbtree,0,0,0.3,0.5,4,2.735880050534522
6,0.001,reg:linear,gbtree,0,0,0.3,0.6,4,2.740702723239616
6,0.001,reg:linear,gbtree,0,0,0.3,0.7,4,2.7433270642507432
6,0.001,reg:linear,gbtree,0,0,0.3,0.8,4,2.7498167713047623
6,0.001,reg:linear,gbtree,0,0,0.3,0.9,4,2.756323999912499
6,0.001,reg:linear,gbtree,0,0,0.3,1,4,2.769578398505614
6,0.001,reg:gamma,gbtree,0,0,0,0.5,4,4.977968062369943
6,0.001,reg:gamma,gbtree,0,0,0,0.6,4,4.975258429547051
6,0.001,reg:gamma,gbtree,0,0,0,0.7,4,4.972929871142274
6,0.001,reg:gamma,gbtree,0,0,0,0.8,4,4.970994136262236
6,0.001,reg:gamma,gbtree,0,0,0,0.9,4,4.968859172461496
