max_depth, eta, objective, booster, gamma, reg_alpha, reg_lambda, subsample, nthread
6,0.005,reg:linear,gbtree,0,0,0.1,0.5,4,2.5438215549609637
6,0.005,reg:linear,gbtree,0,0,0.1,0.7,4,2.5502509913484737
6,0.005,reg:linear,gbtree,0,0,0.2,0.5,4,2.541558339174966
6,0.005,reg:linear,gbtree,0,0,0.2,0.7,4,2.5502227513444153
6,0.005,reg:linear,gbtree,0,0,0.3,0.5,4,2.5437042872893563
6,0.005,reg:linear,gbtree,0,0,0.3,0.7,4,2.552384918543566
6,0.005,reg:gamma,gbtree,0,0,0.1,0.5,4,2.537296153678622
6,0.005,reg:gamma,gbtree,0,0,0.1,0.7,4,2.5503859060241556
6,0.005,reg:gamma,gbtree,0,0,0.2,0.5,4,2.537433842641496
6,0.005,reg:gamma,gbtree,0,0,0.2,0.7,4,2.545688401017778
6,0.005,reg:gamma,gbtree,0,0,0.3,0.5,4,2.5348453697793043
6,0.005,reg:gamma,gbtree,0,0,0.3,0.7,4,2.546120653530593
6,0.01,reg:linear,gbtree,0,0,0.1,0.5,4,2.5237928320472554
6,0.01,reg:linear,gbtree,0,0,0.1,0.7,4,2.533464728613788
6,0.01,reg:linear,gbtree,0,0,0.2,0.5,4,2.523999968700262
6,0.01,reg:linear,gbtree,0,0,0.2,0.7,4,2.5319662789362054
6,0.01,reg:linear,gbtree,0,0,0.3,0.5,4,2.5225275111373375
6,0.01,reg:linear,gbtree,0,0,0.3,0.7,4,2.5357892383499454
6,0.01,reg:gamma,gbtree,0,0,0.1,0.5,4,2.575178909606055
6,0.01,reg:gamma,gbtree,0,0,0.1,0.7,4,2.6029718073508037
6,0.01,reg:gamma,gbtree,0,0,0.2,0.5,4,2.5764345247977083
6,0.01,reg:gamma,gbtree,0,0,0.2,0.7,4,2.5903429445717614
6,0.01,reg:gamma,gbtree,0,0,0.3,0.5,4,2.5541510352442183
6,0.01,reg:gamma,gbtree,0,0,0.3,0.7,4,2.588968760851398
6,0.02,reg:linear,gbtree,0,0,0.1,0.5,4,2.4946092146463577
6,0.02,reg:linear,gbtree,0,0,0.1,0.7,4,2.5047659812739926
6,0.02,reg:linear,gbtree,0,0,0.2,0.5,4,2.4881866411926823
6,0.02,reg:linear,gbtree,0,0,0.2,0.7,4,2.4998044953162286
6,0.02,reg:linear,gbtree,0,0,0.3,0.5,4,2.495544620033648
6,0.02,reg:linear,gbtree,0,0,0.3,0.7,4,2.5090863970512696
6,0.02,reg:gamma,gbtree,0,0,0.1,0.5,4,2.6377147776982466
6,0.02,reg:gamma,gbtree,0,0,0.1,0.7,4,2.6591693570375305
6,0.02,reg:gamma,gbtree,0,0,0.2,0.5,4,2.605419627924758
6,0.02,reg:gamma,gbtree,0,0,0.2,0.7,4,2.659733774784644
6,0.02,reg:gamma,gbtree,0,0,0.3,0.5,4,2.6171827221699493
6,0.02,reg:gamma,gbtree,0,0,0.3,0.7,4,2.642189377884283
7,0.005,reg:linear,gbtree,0,0,0.1,0.5,4,2.5251503535313815
7,0.005,reg:linear,gbtree,0,0,0.1,0.7,4,2.52689819034378
7,0.005,reg:linear,gbtree,0,0,0.2,0.5,4,2.523291114113738
7,0.005,reg:linear,gbtree,0,0,0.2,0.7,4,2.527946573548636
7,0.005,reg:linear,gbtree,0,0,0.3,0.5,4,2.5205883764666606
7,0.005,reg:linear,gbtree,0,0,0.3,0.7,4,2.5252612948656363
7,0.005,reg:gamma,gbtree,0,0,0.1,0.5,4,2.569667850221196
7,0.005,reg:gamma,gbtree,0,0,0.1,0.7,4,2.5826055164250024
7,0.005,reg:gamma,gbtree,0,0,0.2,0.5,4,2.569174539621758
7,0.005,reg:gamma,gbtree,0,0,0.2,0.7,4,2.57777229709371
7,0.005,reg:gamma,gbtree,0,0,0.3,0.5,4,2.570612277818874
7,0.005,reg:gamma,gbtree,0,0,0.3,0.7,4,2.5765951196835
7,0.01,reg:linear,gbtree,0,0,0.1,0.5,4,2.499144006135486
7,0.01,reg:linear,gbtree,0,0,0.1,0.7,4,2.5092445072982135
7,0.01,reg:linear,gbtree,0,0,0.2,0.5,4,2.5010059241020075
7,0.01,reg:linear,gbtree,0,0,0.2,0.7,4,2.5109514875653054
7,0.01,reg:linear,gbtree,0,0,0.3,0.5,4,2.5011548566679696
7,0.01,reg:linear,gbtree,0,0,0.3,0.7,4,2.510232025361859
7,0.01,reg:gamma,gbtree,0,0,0.1,0.5,4,2.6001655125064125
7,0.01,reg:gamma,gbtree,0,0,0.1,0.7,4,2.624117911520438
7,0.01,reg:gamma,gbtree,0,0,0.2,0.5,4,2.5960948265063184
7,0.01,reg:gamma,gbtree,0,0,0.2,0.7,4,2.629097400896871
7,0.01,reg:gamma,gbtree,0,0,0.3,0.5,4,2.5986475031182605
7,0.01,reg:gamma,gbtree,0,0,0.3,0.7,4,2.612608074668996
7,0.02,reg:linear,gbtree,0,0,0.1,0.5,4,2.4622195005232737
7,0.02,reg:linear,gbtree,0,0,0.1,0.7,4,2.4503982695258992
7,0.02,reg:linear,gbtree,0,0,0.2,0.5,4,2.4729993026050408
7,0.02,reg:linear,gbtree,0,0,0.2,0.7,4,2.460561402842242
7,0.02,reg:linear,gbtree,0,0,0.3,0.5,4,2.4708353884092165
7,0.02,reg:linear,gbtree,0,0,0.3,0.7,4,2.45625922241723
7,0.02,reg:gamma,gbtree,0,0,0.1,0.5,4,2.6664140570078083
7,0.02,reg:gamma,gbtree,0,0,0.1,0.7,4,2.7039087191725697
7,0.02,reg:gamma,gbtree,0,0,0.2,0.5,4,2.6433652796444362
7,0.02,reg:gamma,gbtree,0,0,0.2,0.7,4,2.67881767450429
7,0.02,reg:gamma,gbtree,0,0,0.3,0.5,4,2.632932175077269
7,0.02,reg:gamma,gbtree,0,0,0.3,0.7,4,2.686363431284671
8,0.005,reg:linear,gbtree,0,0,0.1,0.5,4,2.499221249292462
8,0.005,reg:linear,gbtree,0,0,0.1,0.7,4,2.49763663298705
8,0.005,reg:linear,gbtree,0,0,0.2,0.5,4,2.4974536701519483
8,0.005,reg:linear,gbtree,0,0,0.2,0.7,4,2.4969382651516483
8,0.005,reg:linear,gbtree,0,0,0.3,0.5,4,2.4936650272949787
8,0.005,reg:linear,gbtree,0,0,0.3,0.7,4,2.4997425083344265
8,0.005,reg:gamma,gbtree,0,0,0.1,0.5,4,2.609757020893611
8,0.005,reg:gamma,gbtree,0,0,0.1,0.7,4,2.614098060396482
8,0.005,reg:gamma,gbtree,0,0,0.2,0.5,4,2.610196292350613
8,0.005,reg:gamma,gbtree,0,0,0.2,0.7,4,2.6060352629971875
8,0.005,reg:gamma,gbtree,0,0,0.3,0.5,4,2.5996295778379706
8,0.005,reg:gamma,gbtree,0,0,0.3,0.7,4,2.60135125427435
8,0.01,reg:linear,gbtree,0,0,0.1,0.5,4,2.453969789932489
8,0.01,reg:linear,gbtree,0,0,0.1,0.7,4,2.4716536237578004
8,0.01,reg:linear,gbtree,0,0,0.2,0.5,4,2.4569322753185245
8,0.01,reg:linear,gbtree,0,0,0.2,0.7,4,2.469755993129718
8,0.01,reg:linear,gbtree,0,0,0.3,0.5,4,2.4610994858808986
8,0.01,reg:linear,gbtree,0,0,0.3,0.7,4,2.468742503170377
8,0.01,reg:gamma,gbtree,0,0,0.1,0.5,4,2.6179917790548517
8,0.01,reg:gamma,gbtree,0,0,0.1,0.7,4,2.6306061805877197
8,0.01,reg:gamma,gbtree,0,0,0.2,0.5,4,2.6176964494302544
8,0.01,reg:gamma,gbtree,0,0,0.2,0.7,4,2.6176451209395077
8,0.01,reg:gamma,gbtree,0,0,0.3,0.5,4,2.619126729611493
8,0.01,reg:gamma,gbtree,0,0,0.3,0.7,4,2.602600164218838
8,0.02,reg:linear,gbtree,0,0,0.1,0.5,4,2.4217318171443796
8,0.02,reg:linear,gbtree,0,0,0.1,0.7,4,2.4067998056203495
8,0.02,reg:linear,gbtree,0,0,0.2,0.5,4,2.4219312776283872
8,0.02,reg:linear,gbtree,0,0,0.2,0.7,4,2.421428878641673
8,0.02,reg:linear,gbtree,0,0,0.3,0.5,4,2.411808932792244
8,0.02,reg:linear,gbtree,0,0,0.3,0.7,4,2.4142675786485266
8,0.02,reg:gamma,gbtree,0,0,0.1,0.5,4,2.6701098109557875
8,0.02,reg:gamma,gbtree,0,0,0.1,0.7,4,2.6574087431340985
8,0.02,reg:gamma,gbtree,0,0,0.2,0.5,4,2.6654793636376346
8,0.02,reg:gamma,gbtree,0,0,0.2,0.7,4,2.710265837021668
8,0.02,reg:gamma,gbtree,0,0,0.3,0.5,4,2.664807393820876
8,0.02,reg:gamma,gbtree,0,0,0.3,0.7,4,2.676228059276843
