n_est,min_samples_split,min_samples_leaf,max_features
750,2,75,2,2.4808486452391842
750,2,75,3,2.5016385447795964
750,2,75,4,2.5199991784601274
750,2,75,15,2.566694376574998
750,2,75,30,2.576004543792758
750,2,75,45,2.5825223103044768
750,2,100,2,2.4691853738294496
750,2,100,3,2.498647559865995
750,2,100,4,2.5140652540363506
750,2,100,15,2.565813148017781
750,2,100,30,2.5809617986551108
750,2,100,45,2.5865011043371204
750,2,125,2,2.463773495795542
750,2,125,3,2.4896654633885857
750,2,125,4,2.5094140536455827
750,2,125,15,2.5647586260214545
750,2,125,30,2.5772170382791524
750,2,125,45,2.583452486889074
750,2,150,2,2.4598740296423847
750,2,150,3,2.4827689070221526
750,2,150,4,2.5009208008843697
750,2,150,15,2.5639466670297866
750,2,150,30,2.5751883178796793
750,2,150,45,2.576555652991904
750,2,175,2,2.454619413783157
750,2,175,3,2.478778987218844
750,2,175,4,2.4945617961880955
750,2,175,15,2.5554370092603342
750,2,175,30,2.571628875517544
750,2,175,45,2.5756982811576012
1250,2,75,2,2.4784336724544174
1250,2,75,3,2.50235216965651
1250,2,75,4,2.5187399851905963
1250,2,75,15,2.563817939761063
1250,2,75,30,2.5750005556745386
