train_loss,val_loss
3.1246831,3.2824564
2.9886405,3.1704023
2.904903,3.363464
2.8207972,3.0894825
2.7501712,3.062014
2.6098175,2.9594426
2.428257,3.0012047
2.2303302,3.0862954
2.2640834,2.8674648
2.211873,2.9726722
2.0686831,3.0140846
2.0614264,3.268844
2.0044994,3.2327733
2.0410347,3.0789063
1.9605434,3.2057462
2.0910575,2.9081624
2.0682914,2.9396093
1.9071606,3.0034363
1.948837,2.9171233
1.8629594,2.9410014
1.8760138,2.8591025
1.8940743,3.2255275
1.912234,3.0341957
2.0171103,2.8729634
1.8567309,3.0314274
1.8113045,3.3087206
1.8249904,2.9262269
1.7987714,2.873572
1.871123,2.7785497
1.7630306,2.6772966
1.7432556,2.890694
1.6657038,3.154209
1.6627525,2.7979577
1.6556709,2.7829945
1.7121146,2.9687426
1.5709082,2.967808
1.5706801,2.983479
1.5973787,2.8813658
1.5683383,2.624628
1.502694,3.0727334
1.4977728,2.9101841
1.4661566,2.7614372
1.4497609,2.8201349
1.4524193,2.878088
1.4811789,2.722845
1.5220758,2.9298398
1.4480851,2.8416197
1.4423332,2.8837447
1.5070276,2.6132414
1.4195497,2.6094148
1.3611435,2.7353454
1.3748087,2.675028
1.313129,2.7846475
1.2602639,2.7696993
1.3088528,2.7159963
1.3116866,2.8745117
1.3138536,2.708382
1.3315902,2.814276
1.3525789,2.7396283
1.3417213,2.903564
1.437027,2.6882348
1.3731166,2.6586137
1.7260021,3.1492286
1.3930285,2.7422647
1.317841,2.6417685
1.310054,2.7291715
1.3445964,2.811405
1.3271291,2.9589534
1.2778863,2.6749704
1.2887862,2.6601918
1.2265606,2.685791
1.2108812,2.7689638
1.2003204,2.7072787
1.2952684,2.7406018
1.3228544,3.0413206
1.37248,2.783901
1.26801,2.7691176
1.2503262,2.769521
1.2798581,2.7664232
1.2104988,2.7405632
