n_est,min_samples_split,min_samples_leaf,max_features
100,4,4,10,2.5762429762739254
100,4,4,30,2.6276614516179135
100,4,4,50,2.6395162532833014
100,4,15,10,2.5875795486559787
100,4,15,30,2.6241348105396574
100,4,15,50,2.6265062216879316
100,4,30,10,2.4989148565550674
100,4,30,30,2.5159620560728793
100,4,30,50,2.5201765503828377
100,10,4,10,2.60844668998244
100,10,4,30,2.6255938333171454
100,10,4,50,2.635178335851237
100,10,15,10,2.5875795486559787
100,10,15,30,2.6241348105396574
100,10,15,50,2.6265062216879316
100,10,30,10,2.4989148565550674
100,10,30,30,2.5159620560728793
100,10,30,50,2.5201765503828377
100,30,4,10,2.600004029807573
100,30,4,30,2.641777119438629
100,30,4,50,2.645482658336897
100,30,15,10,2.5875795486559787
100,30,15,30,2.6241348105396574
100,30,15,50,2.6265062216879316
100,30,30,10,2.4989148565550674
