n_est,min_samples_split,min_samples_leaf,max_features
750,2,75,2,2.4093423310426108
750,2,75,3,2.419725832954528
750,2,75,4,2.42437671773215
750,2,75,15,2.445704475014359
750,2,75,30,2.446330323557464
750,2,75,45,2.449498653463208
750,2,100,2,2.4027689084654713
750,2,100,3,2.4104841659471035
750,2,100,4,2.414300538949603
750,2,100,15,2.427833163925851
750,2,100,30,2.43359131470168
750,2,100,45,2.433983497820626
750,2,125,2,2.4016548546105283
750,2,125,3,2.4117562768723526
750,2,125,4,2.4140922304627974
750,2,125,15,2.418898169609348
750,2,125,30,2.41964853562258
750,2,125,45,2.4204681078308337
750,2,150,2,2.401622876846343
750,2,150,3,2.41236892901942
750,2,150,4,2.4117567093462102
750,2,150,15,2.41521482068102
750,2,150,30,2.413655013827631
750,2,150,45,2.4126658018239837
750,2,175,2,2.402307670466831
750,2,175,3,2.412519944400018
750,2,175,4,2.412111655836988
750,2,175,15,2.410500492851547
750,2,175,30,2.4067233605937757
750,2,175,45,2.4067953122170906
1250,2,75,2,2.4077338588348267
1250,2,75,3,2.4184326322668683
1250,2,75,4,2.4245351964317776
1250,2,75,15,2.4455877166277595
1250,2,75,30,2.44653226356968
1250,2,75,45,2.448292209838012
1250,2,100,2,2.403178186575476
1250,2,100,3,2.4108315455915172
1250,2,100,4,2.4135660790796307
1250,2,100,15,2.4285960628157066
1250,2,100,30,2.4327066316516524
1250,2,100,45,2.433369020548537
1250,2,125,2,2.4009229993174452
1250,2,125,3,2.410450365817705
1250,2,125,4,2.4123590751429704
1250,2,125,15,2.419628902136956
1250,2,125,30,2.4189995108052793
1250,2,125,45,2.4193819396826277
1250,2,150,2,2.4021489546425547
1250,2,150,3,2.4116023345118243
1250,2,150,4,2.411380221880616
1250,2,150,15,2.4142690769789334
1250,2,150,30,2.4129789447107934
1250,2,150,45,2.4120023235721777
1250,2,175,2,2.404191444392977
1250,2,175,3,2.4115432914029524
1250,2,175,4,2.412656221624496
1250,2,175,15,2.409661816869298
1250,2,175,30,2.4060545659981605
1250,2,175,45,2.40637125937149
